group,canonical_en,variant_en,zh_final,source
anus,anus,asshole,屁眼,override
anus,anus,backdoor,后庭,override
anus,anus,ring,菊花,override
breasts,breasts,boob,奶子,override
breasts,breasts,boobies,奶子,override
breasts,breasts,boobs,奶子,override
breasts,breasts,breast,乳房,override
breasts,breasts,breasts,乳房,override
breasts,breasts,rack,胸器,override
breasts,breasts,tit,奶子,override
breasts,breasts,tits,奶子,override
breasts,breasts,titties,奶子,override
buttocks,butt,ass,屁股,override
buttocks,butt,ass cheeks,臀瓣,override
buttocks,butt,ass-cheeks,臀瓣,override
buttocks,butt,asscheeks,臀瓣,override
buttocks,butt,backside,屁股,override
buttocks,butt,butt,屁股,override
buttocks,butt,cheeks,臀瓣,override
cervix_uterus,cervix,cervix,子宫颈,override
cervix_uterus,cervix,womb,子宫,override
clitoris_labia,clitoris,clit,阴蒂,override
clitoris_labia,clitoris,labia,阴唇,override
devices_bdsm,sex toy,ball-gag,口球,override
devices_bdsm,sex toy,blindfold,眼罩,override
devices_bdsm,sex toy,buttplug,肛塞,override
devices_bdsm,sex toy,collar,项圈,override
devices_bdsm,sex toy,condom,避孕套,override
devices_bdsm,sex toy,condoms,避孕套,override
devices_bdsm,sex toy,dildo,假鸡巴,override
devices_bdsm,sex toy,gag,口塞,override
devices_bdsm,sex toy,lube,润滑液,override
devices_bdsm,sex toy,paddle,拍板,override
devices_bdsm,sex toy,plug,塞子,override
devices_bdsm,sex toy,vibrator,跳蛋,override
devices_bdsm,sex toy,whip,皮鞭,override
glans,glans,glans,龟头,override
masturbation,masturbation,fap,撸管,from_a
masturbation,masturbation,finger,扣逼,from_b
masturbation,masturbation,fingering,指交,from_a
masturbation,masturbation,jerk off,撸管,from_a
masturbation,masturbation,jill,自慰,from_a
masturbation,masturbation,jilling,自慰,from_a
masturbation,masturbation,masturbation,自慰,from_a
masturbation,masturbation,wank,撸管,from_a
masturbation,masturbation,wanking,撸管,from_a
nipples,nipple,nipple,乳头,override
nipples,nipple,nipples,乳头,override
nipples,nipple,nips,乳头,override
orgasm,orgasm,climax,高潮,from_a
orgasm,orgasm,orgasm,高潮,from_a
orgasm,orgasm,orgasms,高潮,from_a
orgasm,orgasm,release,释放,from_a
pejoratives,slut,bitch,婊子,override
pejoratives,slut,bitches,婊子,override
pejoratives,slut,cocksucker,吸屌的,override
pejoratives,slut,cum dumpster,精液桶,override
pejoratives,slut,cum slut,精液荡妇,override
pejoratives,slut,cum-dumpster,精液桶,override
pejoratives,slut,ho,婊子,override
pejoratives,slut,prostitute,妓女,override
pejoratives,slut,prostitutes,妓女,override
pejoratives,slut,slut,骚货,override
pejoratives,slut,sluts,骚货,override
pejoratives,slut,whore,婊子,override
penetration,penetration,entry,进入,from_a
penetration,penetration,penetration,插入,from_a
penetration,penetration,thrust,抽插,from_a
penetration,penetration,thrusting,抽插,from_a
penis,penis,cock,鸡巴,override
penis,penis,dick,屌,override
penis,penis,junk,那话儿,override
penis,penis,meat,肉棒,from_a
penis,penis,member,那话儿,override
penis,penis,package,那话儿,override
penis,penis,penis,阴茎,override
penis,penis,prick,屌,override
penis,penis,rod,肉棒,override
penis,penis,shaft,茎身,override
penis,penis,tool,那话儿,override
positions,position,cowgirl,女上位,from_a
positions,position,spooning,侧卧位,from_b
roles,role kink labels,milf,熟女,override
semen,cum,creampie,内射,override
semen,cum,creampies,内射,override
semen,cum,cum,精液,override
semen,cum,load,一发,override
semen,cum,loads,多发,override
semen,cum,seed,精子,override
semen,cum,sperm,精子,override
semen,cum,spunk,精液,override
semen,cum,squirt,潮吹,override
semen,cum,squirting,潮吹,override
sex_act_anal,anal sex,anal,肛交,override
sex_act_anal,anal sex,anal sex,肛交,override
sex_act_anal,anal sex,ass-fucking,肛交,override
sex_act_feet,footjob,foot job,足交,override
sex_act_feet,footjob,footjob,足交,override
sex_act_group,group sex,69,69式,override
sex_act_group,group sex,gang bang,群P,override
sex_act_group,group sex,gangbang,群P,override
sex_act_group,group sex,orgy,群交,override
sex_act_group,group sex,threesome,3P,override
sex_act_oral,oral sex,blow job,口交,override
sex_act_oral,oral sex,blow-job,口交,override
sex_act_oral,oral sex,blow-jobs,口交,override
sex_act_oral,oral sex,blowjob,口交,override
sex_act_oral,oral sex,blowjobs,口交,override
sex_act_oral,oral sex,deepthroat,深喉,override
sex_act_oral,oral sex,getting head,被口交,override
sex_act_oral,oral sex,give head,口交,override
sex_act_oral,oral sex,hand-job,手交,override
sex_act_oral,oral sex,handjob,手交,override
sex_act_oral,oral sex,handjobs,手交,override
sex_act_oral,oral sex,head,口交,override
sex_act_oral,oral sex,oral,口交,override
sex_act_titty,breast sex,boob job,乳交,override
sex_act_titty,breast sex,boob-job,乳交,override
sex_act_titty,breast sex,boobjob,乳交,override
sex_act_titty,breast sex,titjob,乳交,override
sex_act_titty,breast sex,titjobs,乳交,override
sex_generic,sex,bang,猛干,override
sex_generic,sex,banging,猛干,from_a
sex_generic,sex,fuck,操,override
sex_generic,sex,love making,做爱,override
sex_generic,sex,screw,干,override
sex_generic,sex,sex,做爱,from_a
testicles,testicles,ball,蛋蛋,override
testicles,testicles,balls,蛋蛋,override
testicles,testicles,nut,蛋蛋,override
testicles,testicles,nuts,蛋蛋,override
vagina_vulva,vagina,box,小穴,override
vagina_vulva,vagina,camel toe,骆驼趾,override
vagina_vulva,vagina,cunt,屄,override
vagina_vulva,vagina,flower,花穴,override
vagina_vulva,vagina,kitty,小穴,override
vagina_vulva,vagina,mound,耻丘,override
vagina_vulva,vagina,pussy,小穴,override
vagina_vulva,vagina,slot,肉缝,override
vagina_vulva,vagina,vagina,阴道,override
